property_type,state,lat,lon,area_m2,price_usd
house,,40.9141247,20.7427213,172.2,$115930.83
apartment,,,-47.2997218,135.4,$218046.93
apartment,,24.479833,,365.6,$80921.09
house,,10.1718844,106.4641459,80.6,$78924.33
apartment,Setúbal,38.5385334,,176.1,$59591.87
apartment,,36.990268,107.853926,273.9,$114435.93
apartment,,-12.8528438,-38.3271112,82.4,$77633.10
house,,17.6992092,121.5038757,143.0,$276582.65
house,Galicia,42.4423768,,289.8,$133900.04
apartment,,-21.8239574,-47.2484692,473.5,$224848.71
house,,6.0151191,101.951925,328.9,$102758.32
house,,13.7829673,109.2196634,495.4,$182115.87
house,,28.590337,105.697472,353.0,$196125.08
apartment,,-6.9933556,112.3650707,95.7,$292771.79
apartment,,6,120.9666672,311.3,$146460.68
apartment,,-7.033304,113.5609459,478.2,$248998.07
apartment,,18.9313146,-70.4070779,229.6,$32446.98
apartment,,50.2620534,22.4210807,358.9,$102927.34
house,,-9.1896778,-77.7130151,394.5,$176202.59
apartment,,8.8153071,105.0557415,234.5,$238836.62
house,,22.9155908,91.8580145,163.1,$190825.65
apartment,,52.029753,113.5177301,270.9,$150548.02
apartment,,53.1001509,34.0612529,427.7,$157842.77
apartment,,10.4868673,-66.739712,314.3,$128100.88
apartment,,22.533012,113.930475,226.9,$283103.38
apartment,,-15.8402218,-70.0218805,85.5,$110753.01
house,Ostfold,59.4443693,10.646404,371.2,$289185.27
apartment,,51.7421319,39.1374839,154.0,$216179.52
apartment,,49.3389251,17.9938523,384.3,$131473.62
house,Nova Scotia,46.152911,-71.885445,364.1,$89142.38
house,Oslo,59.9050895,10.7673005,332.1,$38361.45
house,,10.6095479,122.955299,423.8,$115883.85
house,Porto,41.303548,-8.7353479,458.2,$135833.51
apartment,,,123.345085,80.2,$92499.60
house,,16.6143698,-7.2598913,488.5,$166834.91
house,,-6.3967343,107.434768,363.8,$194354.30
house,,27.9158175,34.3299505,304.4,$92253.01
house,,-23.2245912,-52.7670021,346.9,$111723.28
house,Aveiro,40.7655059,-8.5555429,144.7,$140015.26
apartment,,,122.456824,336.2,$195118.38
house,,,94.80205,200.9,$110992.43
apartment,,32.809026,110.112629,162.5,$251973.78
house,,45.207675,37.2884784,261.5,$25729.53
apartment,,-23.534948,-46.7737972,489.7,$57546.85
apartment,Provincie Flevoland,52.5077777,5.4757709,474.3,$145859.28
apartment,,-1.445213,100.630898,457.1,$94280.16
house,Île-de-France,48.7663087,2.4119232,97.2,$124919.23
house,Alsace,48.5347071,7.6370168,328.2,$49844.86
apartment,,-24.9843096,-65.5805252,91.7,$92738.72
house,,55.6602448,37.5157102,234.4,$177385.04
apartment,,52.2542902,19.034146,233.1,$181748.78
apartment,,,44.27461,112.7,$120850.34
house,,-8.8143,121.2744,322.0,$159045.90
house,,-22.2496709,,106.3,$57237.38
house,,-14.1187362,-72.2475708,370.6,$208925.14
house,Stockholm,59.3319489,18.0221451,489.6,$25127.02
house,,-27.2000865,-54.9815915,159.1,$250016.55
house,District of Columbia,38.9187037,-76.9611991,324.9,$26547.80
house,,-7.2017476,108.1562084,212.4,$279248.56
apartment,,51.506437,100.6714581,186.8,$49744.23
house,,40.53971,,172.7,$27477.75
house,Hidalgo,19.3851705,-99.1837453,333.4,$265209.73
house,,45.4885295,41.1600688,350.2,$204105.04
apartment,,31.829323,119.977286,145.2,$114108.50
apartment,Setúbal,38.4618994,-9.1029917,421.1,$161954.13
house,,,119.975172,205.0,$261334.74
apartment,,37.5874845,22.7447696,195.3,$55889.70
apartment,,22.517585,113.39277,233.3,$285482.44
house,,14.573997,121.049071,232.8,$146829.05
apartment,,29.295,47.93306,225.7,$296677.54
apartment,,6.551367,-74.787294,127.7,$221558.30
apartment,,47.6264367,34.5297956,172.6,$286892.10
apartment,,,,152.8,$142503.33
apartment,Midi-Pyrénées,47.8632224,0.8648422,416.8,$111493.46
apartment,,-7.3518129,108.1110423,392.1,$137969.75
apartment,,-6.5864219,106.7441048,238.3,$81774.26
apartment,,-6.9633727,,101.1,$189069.39
apartment,,-6.4085961,106.7647475,445.6,$267297.46
house,,,,162.7,$280920.67
apartment,,50.7054502,15.3203304,359.3,$169650.28
apartment,,14.6347254,121.0112199,478.9,$235824.67
house,Provence-Alpes-Côte d'Azur,43.1283145,5.9294606,239.3,$266102.91
apartment,,15.2008428,-12.9449928,209.4,$164537.63
apartment,,35.4175712,10.997658,301.4,$230796.29
apartment,,25.866694,118.932592,267.3,$268886.43
apartment,,43.5621247,43.20792,312.7,$53256.12
apartment,,41.9914135,121.6412579,248.0,$37680.02
house,Braga,41.5331853,-8.2524001,204.0,$169916.34
house,,48.8825673,,407.6,$93616.66
apartment,,35.797997,112.92392,434.6,$233138.70
house,,-6.2686878,139.9469432,97.6,$177542.25
apartment,,38.05106,114.463347,99.6,$289567.61
apartment,,3.8788254,,158.7,$107345.54
apartment,,12.9549865,-5.7563151,195.5,$161877.46
apartment,,57.4341878,40.3148687,485.6,$105043.41
apartment,,-24.7073654,-54.0688562,118.2,$87858.11
house,,19.0779991,-71.8423092,482.5,$226686.90
house,,57.4746374,45.7930516,157.5,$48546.01
house,,31.050715,118.858949,392.7,$226358.42
apartment,,31.2367474,121.5221244,364.8,$48561.03
house,,38.371402,117.329949,278.9,$133631.94
apartment,,,111.0566,107.6,$165259.72
house,,39.15667,26.52167,257.2,$124597.12
house,,49.5631235,21.7899388,437.1,$203634.66
house,,44.3665543,39.7099065,132.0,$262845.73
house,,28.572029,109.482078,335.9,$148509.16
apartment,,43.6237019,45.3376515,201.7,$295998.19
apartment,,-6.9263243,110.084385,494.6,$48663.51
apartment,,,25.0673009,240.4,$222299.94
apartment,Pr,18.3546149,,460.6,$87066.46
house,,24.771797,103.290785,450.7,$272327.07
apartment,,31.938731,113.165197,89.8,$117536.82
house,,34.6743219,36.3971959,115.7,$229232.57
apartment,,14.4693883,,250.6,$51763.06
house,Västra Götaland,57.5788645,12.1079009,269.5,$110352.28
apartment,,28.074649,119.141473,374.2,$40440.05
apartment,,-7.22698,-39.297682,150.6,$271540.44
house,,-8.8828551,-36.4968966,466.5,$210228.84
house,,51.6710832,19.8078532,248.9,$269663.57
apartment,Stockholm,59.7394596,18.3595793,223.7,$176322.39
apartment,,-1.4391409,-46.3624686,188.1,$117297.95
house,,22.9856091,-80.5855038,374.2,$229813.80
apartment,,33.770447,117.624455,221.7,$142604.31
house,Sonora,29.0755457,-110.9610195,215.5,$263273.48
house,,34.9588458,33.466379,350.4,$138813.28
apartment,Île-de-France,43.4945737,5.8978018,100.6,$298460.54
apartment,,32.874735,117.531622,460.7,$49947.85
apartment,,-7.646682,110.6064632,474.5,$221677.86
apartment,,55.813957,37.626119,170.8,$251480.94
apartment,,37.2425649,111.8568586,199.2,$159209.08
house,Évora,38.3341493,-8.0038406,367.3,$57558.35
apartment,,32.790614,35.326882,409.9,$152549.12
apartment,,52.5999819,39.5170628,112.2,$246881.91
house,,-7.1913,107.8902,424.5,$128538.47
apartment,,42.0256691,19.547883,276.5,$190066.75
house,,14.1560521,-88.0363086,201.6,$207488.61
apartment,,37.136553,120.878247,465.2,$237507.97
apartment,,45.6138162,20.0459853,374.2,$75033.30
house,Florida,30.4415185,-87.2518824,437.4,$233605.93
house,,30.2977417,30.9783805,107.6,$231875.69
apartment,,-3.2898398,29.6499162,418.0,$232602.53
apartment,,,-68.9539593,248.2,$77946.90
apartment,,-25.2631384,-57.2536314,258.0,$152799.50
apartment,,-25.5096271,,197.9,$37760.92
house,,45.6438305,18.5215008,83.2,$64125.42
apartment,Oaxaca,22.9410456,-109.94522,465.8,$231283.60
apartment,,50.1267067,45.4468585,444.2,$298859.94
house,,14.4693883,121.0059518,95.4,$138982.89
house,,14.8548895,120.9052447,350.9,$292446.93
apartment,,14.7980871,-87.3388767,352.8,$193853.35
house,Bourgogne,46.9874505,3.1506645,304.1,$198448.64
house,Västra Götaland,58.316667,12.3166671,154.8,$126490.29
apartment,,43.3497076,26.626104,102.4,$93067.73
house,,27.381466,67.9163808,83.7,$61608.68
house,,10.0566953,-65.0394139,201.7,$280447.46
house,,30.493506,112.906645,248.9,$92236.54
apartment,,6.4864,-72.43286,352.4,$33829.77
apartment,,23.701262,117.430061,449.5,$45596.78
apartment,New York,40.8,-73.97,376.0,$114844.17
house,,29.6516537,31.3159513,367.0,$255136.50
house,Évora,38.2170269,-7.5422129,291.0,$50097.18
house,,39.179865,117.207298,405.2,$222532.92
apartment,,-34.6906944,-58.601544,426.5,$255190.96
apartment,,-7.7474,114.0409,246.3,$72565.58
apartment,South Australia,-34.990888,138.574391,176.9,$174130.61
house,,35.202503,102.521807,232.9,$69773.84
house,,35.4399,48.0736,481.9,$202161.55
apartment,,-8.2383,123.7896,205.9,$200646.49
apartment,,31.138677,120.645158,276.5,$293710.60
house,,49.6748894,12.6736722,379.8,$194933.17
house,North Carolina,36.0038131,,358.0,$277558.76
house,Porto,41.2511521,-8.3148854,151.1,$184862.49
house,,-7.2894986,108.1873407,416.6,$57640.99
house,,15.3775935,-88.0240796,211.9,$55592.33
house,,29.696108,118.315329,363.5,$127393.05
apartment,,53.0801709,46.6340372,327.5,$117199.63
house,,38.8148898,141.5661378,341.5,$258291.60
house,,-34.6601867,,97.7,$255535.55
apartment,,-6.9897256,106.6468148,84.1,$71225.42
house,,31.2660017,70.8743691,106.2,$257316.34
house,,13.6332855,100.4958678,493.3,$51698.34
apartment,California,36.7299999,-119.78,282.2,$40614.55
house,,-10.0798,120.2781,139.9,$69478.29
apartment,,-1.259553,104.100502,197.8,$72239.28
house,,7.3832138,122.804355,279.0,$183607.35
house,,53.4539951,26.4698363,447.0,$82941.79
apartment,,55.6558059,37.4793238,279.7,$294061.69
apartment,,,116.55989,123.5,$73854.15
apartment,,,117.925685,249.5,$163496.86
house,,9.791337,-74.7975249,394.7,$236689.99
house,,55.2273044,27.4650969,307.9,$161023.65
